Name,SegmentTitle,FamilyTitle,ClassTitle,BrickTitle
Snackster möhren,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Root/Tuber Vegetables,Carrots
"Äpfel, Gala 6er Pack",Food/Beverage,Fruits - Unprepared/Unprocessed (Fresh),Pome Fruits,Apples
Heidelbeeren,Food/Beverage,Fruits - Unprepared/Unprocessed (Fresh),Berries/Small Fruit,Blueberries
Junger Spinat,Food/Beverage,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Junge Erbsen,Food/Beverage,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Spitzpaprika,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Peppers,Elongated Sweet Peppers (Pointed)
Brechbohnen,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Beans (With Pods),French/Wax Beans
Zitronen,Food/Beverage,Fruits - Unprepared/Unprocessed (Fresh),Citrus,Lemons
Baby Spinat,Food/Beverage,Leaf Vegetables - Unprepared/Unprocessed (Fresh),Spinach (Fresh),Spinach
Pralinentomaten,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Tomatoes,Tomatoes - Oblong
Orangen,Food/Beverage,Fruits - Unprepared/Unprocessed (Fresh),Citrus,Oranges
Mini Gurken,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Cucumbers,Cucumbers
Sesam,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Reines Pflanzenfett,Food/Beverage,Oils/Fats Edible,Oils Edible,Oils Edible - Vegetable or Plant (Shelf Stable)
Olivenöl,Food/Beverage,Oils/Fats Edible,Oils Edible,Oils Edible - Vegetable or Plant (Shelf Stable)
Sonnenblumenöl,Food/Beverage,Oils/Fats Edible,Oils Edible,Oils Edible - Vegetable or Plant (Shelf Stable)
Kokosöl,Food/Beverage,Oils/Fats Edible,Oils Edible,Oils Edible - Vegetable or Plant (Shelf Stable)
Sesamöl,Food/Beverage,Oils/Fats Edible,Oils Edible,Oils Edible - Vegetable or Plant (Shelf Stable)
Haselnussöl,Food/Beverage,Oils/Fats Edible,Oils Edible,Oils Edible - Vegetable or Plant (Shelf Stable)
Natives Olivenöl Extra,Food/Beverage,Oils/Fats Edible,Oils Edible,Oils Edible - Vegetable or Plant (Shelf Stable)
Raffiniertes Rapsöl,Food/Beverage,Oils/Fats Edible,Oils Edible,Oils Edible - Vegetable or Plant (Shelf Stable)
Genussmanufaktur,Food/Beverage,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen),Fruit - Unprepared/Unprocessed (Frozen)
Himbeer Heidelbeer-Mix,Food/Beverage,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen),Fruit - Unprepared/Unprocessed (Frozen)
Himbeeren Ganze Früchte,Food/Beverage,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen),Fruit - Unprepared/Unprocessed (Frozen)
Heidelbeeren,Food/Beverage,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen),Fruit - Unprepared/Unprocessed (Frozen)
Heidelbeeren,Food/Beverage,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen),Fruit - Unprepared/Unprocessed (Frozen)
Beeren Mischung,Food/Beverage,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen),Fruit - Unprepared/Unprocessed (Frozen)
Himbeeren,Food/Beverage,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen),Fruit - Unprepared/Unprocessed (Frozen)
Mango,Food/Beverage,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen),Fruit - Unprepared/Unprocessed (Frozen)
Erdbeeren,Food/Beverage,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen),Fruit - Unprepared/Unprocessed (Frozen)
Erbsen & Karotten,Food/Beverage,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Rahm-Gemüse Wirsing,Food/Beverage,Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen),Vegetables - Unprepared/Unprocessed (Frozen)
Essreife Mangos,Food/Beverage,Fruits - Unprepared/Unprocessed (Fresh),Miscellaneous Fruit,Mangos
Echtlachs Creme,Food/Beverage,Fish and Seafood,Fish - Prepared/Processed,Fish - Prepared/Processed (Perishable)
Deutscher Caviar,Food/Beverage,Fish and Seafood,Fish - Prepared/Processed,Fish - Prepared/Processed (Perishable)
Surimi Sticks,Food/Beverage,Fish and Seafood,Fish - Prepared/Processed,Fish - Prepared/Processed (Perishable)
Zarte Heringsfilets,Food/Beverage,Fish and Seafood,Fish - Prepared/Processed,Fish - Prepared/Processed (Perishable)
Sardinen,Food/Beverage,Fish and Seafood,Fish - Prepared/Processed,Fish - Prepared/Processed (Shelf Stable)
Noriblätter,Food/Beverage,Fish and Seafood,Aquatic Plants Prepared/Processed,Aquatic Plants Prepared/Processed (Shelf Stable)
Schlemmerfilet À La Bordelaise,Food/Beverage,Fish and Seafood,Fish - Prepared/Processed,Fish - Prepared/Processed (Perishable)
Fischstäbchen,Food/Beverage,Fish and Seafood,Fish - Prepared/Processed,Fish - Prepared/Processed (Frozen)
White Tiger Prawns,Food/Beverage,Fish and Seafood,Shellfish Prepared/Processed,Shellfish Prepared/Processed (Frozen)
Studentenfutter,Food/Beverage,Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell),Nuts/Seeds - Unprepared/Unprocessed (In Shell)
Bärchen Streich,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals Sausages - Prepared/Processed,Alternative Meat/Poultry/Other Animal Sausages - Prepared/Processed
Mühlen Frikadellen,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals - Prepared/Processed,Pork - Prepared/Processed
Pulled Pork,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals - Prepared/Processed,Pork - Prepared/Processed
Bio Frühstücksbacon,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals - Prepared/Processed,Pork - Prepared/Processed
Puten Schnitzel,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals - Prepared/Processed,Alternative Meat/Poultry/Other Animals Species - Prepared/Processed
Hüftsteak,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals - Unprepared/Unprocessed,Beef - Unprepared/Unprocessed
Toastys,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals - Prepared/Processed,Pork - Prepared/Processed
Beef Nuggets,Food/Beverage,Meat/Poultry/Other Animals,Meat/Poultry/Other Animals - Prepared/Processed,Beef - Prepared/Processed
Kopfsalat Herzen,Food/Beverage,Leaf Vegetables - Unprepared/Unprocessed (Fresh),Head Lettuce,Head Lettuce (Butterhead)
Feiner Rucola,Food/Beverage,Leaf Vegetables - Unprepared/Unprocessed (Fresh),Single Leaf Salad Greens,Rocket
Eisbergsalat,Food/Beverage,Leaf Vegetables - Unprepared/Unprocessed (Fresh),Head Lettuce,Iceberg Lettuce
Mini-Pak Choi,Food/Beverage,Vegetables (Non Leaf) - Unprepared/Unprocessed (Fresh),Brassica Vegetables,Pak Choi
Feldsalat,Food/Beverage,Leaf Vegetables - Unprepared/Unprocessed (Fresh),Single Leaf Salad Greens,Lambs Lettuce
Bio Salat,Food/Beverage,Leaf Vegetables - Unprepared/Unprocessed (Fresh),Loose Leaf/Multileaf Salad Greens,Loose Leaf/Multileaf Lettuce Other
Feldsalat,Food/Beverage,Leaf Vegetables - Unprepared/Unprocessed (Fresh),Single Leaf Salad Greens,Lambs Lettuce
Bio Garten Kresse,Food/Beverage,Leaf Vegetables - Unprepared/Unprocessed (Fresh),Single Leaf Salad Greens,Watercress
Pflücksalat,Food/Beverage,Leaf Vegetables - Unprepared/Unprocessed (Fresh),Loose Leaf/Multileaf Salad Greens,Loose Leaf/Multileaf Lettuce Other
Cornetto,Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings,Ice Cream/Ice Novelties (Frozen)
Magnum Mini,Food/Beverage,Prepared/Preserved Foods,Desserts/Desserts Substitutes/Dessert Sauces/Toppings,Ice Cream/Ice Novelties (Frozen)
Himbeeren,Food/Beverage,Fruits - Unprepared/Unprocessed (Frozen),Fruits - Unprepared/Unprocessed (Frozen),Fruit - Unprepared/Unprocessed (Frozen)
